value,count
"((1,10),(2,3));",1
"((1,7),(10,6));",1
"((10,6),(2,8));",1
"((2,9),(5,8));",1
"((1,7),(10,9));",1
"((1,11),(2,4));",1
"((10,9),(4,7));",1
"((3,7),(6,9));",1
"((4,7),(6,9));",1
"((10,6),(11,7));",1
"((10,8),(2,6));",1
"((1,5),(6,9));",1
"((10,6),(11,5));",1
"((10,5),(11,9));",1
"((4,9),(5,8));",1
"((10,6),(3,9));",1
"((10,9),(2,8));",1
"((1,6),(2,3));",1
"((4,8),(5,9));",1
"((1,7),(2,3));",1
"((1,5),(10,6));",1
"((10,8),(3,9));",1
"((11,9),(6,8));",1
"((4,8),(6,7));",1
"((10,5),(3,9));",1
"((10,9),(5,8));",1
"((10,6),(3,5));",1
"((3,7),(8,9));",1
"((10,8),(6,9));",1
"((1,10),(2,4));",1
"((4,9),(6,8));",1
"((1,11),(2,3));",1
"((10,6),(4,9));",1
"((4,7),(5,9));",1
"((2,4),(3,9));",1
"((11,8),(6,7));",1
"((1,6),(10,9));",1
"((1,9),(10,8));",1
"((11,5),(6,9));",1
"((10,5),(3,8));",1
"((10,8),(11,6));",1
"((11,8),(6,9));",1
"((1,9),(2,3));",1
"((1,9),(10,6));",1
"((1,8),(2,4));",1
"((3,8),(6,9));",1
"((10,6),(2,5));",1
"((2,7),(8,9));",1
"((1,9),(10,5));",1
"((1,4),(3,6));",1
"((1,9),(5,7));",1
"((10,5),(2,7));",1
"((10,5),(4,9));",1
"((10,5),(6,9));",1
"((10,8),(6,7));",1
"((10,8),(4,6));",1
"((10,9),(11,6));",1
"((1,6),(10,7));",1
"((10,7),(5,9));",1
"((10,6),(11,9));",1
"((10,5),(6,8));",1
"((10,6),(3,8));",1
"((10,7),(4,9));",1
"((11,5),(6,8));",1
"((11,5),(6,7));",1
"((1,4),(2,8));",1
"((10,9),(11,8));",1
"((4,9),(5,7));",1
"((10,6),(4,5));",1
"((10,8),(11,9));",1
"((1,4),(3,7));",1
"((1,4),(11,3));",1
"((10,5),(11,8));",1
"((10,7),(3,9));",1
"((10,6),(11,8));",1
"((11,7),(5,9));",1
"((2,9),(6,8));",1
"((10,9),(2,6));",1
"((10,3),(2,4));",1
"((2,5),(6,8));",1
"((1,6),(2,4));",1
"((1,4),(3,5));",1
"((10,9),(6,8));",1
"((1,9),(10,7));",1
"((2,7),(6,9));",1
"((1,8),(2,3));",1
"((11,9),(5,7));",1
"((2,5),(6,9));",1
"((3,9),(6,8));",1
"((5,9),(6,7));",1
"((10,9),(5,7));",1
"((3,8),(5,9));",1
"((2,8),(6,7));",1
"((1,4),(2,6));",1
"((10,5),(3,7));",1
"((1,4),(2,5));",1
"((1,5),(2,3));",1
"((1,4),(3,9));",1
"((3,5),(6,7));",1
"((10,9),(11,7));",1
"((2,4),(3,6));",1
"((10,6),(4,8));",1
"((10,7),(11,9));",1
"((10,5),(6,7));",1
"((10,7),(2,9));",1
"((10,7),(11,6));",1
"((11,7),(6,9));",1
"((2,8),(6,9));",1
"((10,6),(2,7));",1
"((4,5),(6,9));",1
"((10,6),(4,7));",1
"((2,4),(3,5));",1
"((10,5),(11,7));",1
"((1,5),(6,7));",1
"((10,7),(8,9));",1
"((10,7),(6,9));",1
"((1,5),(2,4));",1
"((1,8),(10,9));",1
"((10,5),(2,9));",1
"((10,5),(4,8));",1
"((11,9),(5,8));",1
"((10,7),(4,6));",1
"((1,8),(6,7));",1
"((4,7),(8,9));",1
"((1,4),(3,8));",1
"((1,5),(6,8));",1
"((10,8),(4,9));",1
"((2,5),(6,7));",1
"((1,7),(8,9));",1
"((1,9),(2,4));",1
"((3,5),(6,8));",1
"((1,7),(5,9));",1
"((5,8),(6,7));",1
"((1,7),(6,9));",1
"((10,9),(3,6));",1
"((10,6),(3,7));",1
"((10,5),(2,8));",1
"((1,4),(10,3));",1
"((10,8),(5,9));",1
"((1,8),(10,5));",1
"((10,7),(2,6));",1
"((11,8),(5,9));",1
"((5,7),(8,9));",1
"((1,8),(6,9));",1
"((1,4),(11,2));",1
"((3,8),(6,7));",1
"((10,9),(2,7));",1
"((6,7),(8,9));",1
"((1,4),(2,9));",1
"((3,9),(5,7));",1
"((1,7),(10,5));",1
"((3,5),(6,9));",1
"((4,5),(6,7));",1
"((10,9),(3,8));",1
"((11,7),(8,9));",1
"((1,4),(10,2));",1
"((11,3),(2,4));",1
"((1,8),(10,6));",1
"((1,4),(2,3));",1
"((10,6),(2,9));",1
"((3,7),(5,9));",1
"((1,4),(2,7));",1
"((10,9),(3,7));",1
"((4,5),(6,8));",1
"((3,9),(5,8));",1
"((10,8),(3,6));",1
"((10,9),(4,8));",1
"((10,7),(3,6));",1
"((10,8),(2,9));",1
"((10,9),(4,6));",1
"((1,6),(10,8));",1
"((10,5),(4,7));",1
"((1,8),(5,9));",1
"((4,8),(6,9));",1
"((1,7),(2,4));",1
"((2,4),(3,7));",1
"((1,9),(6,8));",1
"((2,4),(3,8));",1
"((2,8),(5,9));",1
"((1,9),(5,8));",1
"((2,7),(5,9));",1
"((2,9),(5,7));",1
