value,count
"((10,4),(6,8));",3
"((10,4),(8,9));",3
"((1,5),(8,9));",3
"((3,6),(8,9));",3
"((10,3),(6,8));",3
"((10,5),(8,9));",3
"((10,11),(6,9));",3
"((3,5),(7,9));",3
"((1,6),(8,9));",3
"((1,10),(6,7));",3
"((4,6),(8,9));",3
"((10,3),(7,9));",3
"((2,6),(8,9));",3
"((10,3),(6,7));",3
"((10,4),(6,7));",3
"((1,2),(4,5));",3
"((4,5),(8,9));",3
"((1,2),(4,8));",3
"((2,5),(8,9));",3
"((1,2),(10,4));",3
"((10,11),(6,8));",3
"((10,2),(6,8));",3
"((3,5),(8,9));",3
"((11,5),(7,9));",3
"((2,5),(7,9));",3
"((1,2),(4,6));",3
"((1,2),(11,4));",3
"((4,5),(7,9));",3
"((10,6),(8,9));",3
"((1,10),(6,8));",3
"((1,10),(7,9));",3
"((10,2),(8,9));",3
"((10,2),(7,9));",3
"((10,11),(8,9));",3
"((10,2),(6,9));",3
"((10,4),(6,9));",3
"((10,3),(8,9));",3
"((10,2),(6,7));",3
"((1,5),(7,9));",3
"((11,5),(8,9));",3
"((10,5),(7,9));",3
"((10,11),(7,9));",3
"((10,4),(7,9));",3
"((10,3),(6,9));",3
"((11,6),(8,9));",3
"((1,10),(8,9));",3
"((1,10),(6,9));",3
"((10,11),(6,7));",3
"((1,2),(4,7));",3
"((1,2),(4,9));",3
