value,count
"((5,6),(7,8));",4
"((4,8),(5,6));",4
"((6,9),(7,8));",4
"((11,6),(7,8));",4
"((11,9),(5,6));",4
"((3,6),(7,8));",4
"((1,7),(5,6));",4
"((10,9),(5,6));",4
"((2,7),(5,6));",4
"((10,9),(7,8));",4
"((2,6),(7,8));",4
"((1,8),(5,6));",4
"((5,6),(7,9));",4
"((10,4),(5,6));",4
"((10,6),(7,8));",4
"((11,9),(7,8));",4
"((2,8),(5,6));",4
"((1,9),(7,8));",4
"((4,7),(5,6));",4
"((11,7),(5,6));",4
"((3,9),(7,8));",4
"((4,6),(7,8));",4
"((10,7),(5,6));",4
"((10,2),(5,6));",4
"((10,3),(5,6));",4
"((11,8),(5,6));",4
"((2,9),(7,8));",4
"((4,9),(5,6));",4
"((4,9),(7,8));",4
"((1,9),(5,6));",4
"((3,8),(5,6));",4
"((3,9),(5,6));",4
"((5,9),(7,8));",4
"((10,11),(5,6));",4
"((1,10),(5,6));",4
"((2,9),(5,6));",4
"((10,8),(5,6));",4
"((3,7),(5,6));",4
"((1,6),(7,8));",4
